inputstate,birthyr,gender,sexuality,trans,educ,votereg,race,employ,internethome,internetwork,marstat,pid3,ideo5,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,child18num,newsint,faminc_new,ownhome,urbancity,immstat,cit1,unionhh,investor,assets_estimate,response_time_minutes,volunteering_index
Colorado,1994,Female,Bisexual,No,High school graduate,Yes,White,Full-time,Broadband,,Never married,Democrat,Liberal,No,Very important,Seldom,A few times a month,Something else,0,Only now and then,"Less than $10,000",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,11.5,0.54
California,1941,Female,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,,Married,Republican,Very conservative,Yes,Very important,Once a week,Once a day,Protestant,0,Most of the time,Prefer not to say,Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,70091.0,20.3,0.45
California,1962,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Married,Independent,Conservative,Yes,Very important,A few times a year,Once a day,Nothing in particular,0,Only now and then,"$10,000 - $19,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,14.0,0.08
Connecticut,1977,Male,Heterosexual / straight,No,4-year,No,Hispanic,Full-time,Broadband,Broadband,Married,Republican,Conservative,Yes,Very important,Once a week,Several times a day,Protestant,3,Some of the time,"$70,000 - $79,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,73161.0,,1.41
Washington,1957,Male,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,,Married,Democrat,Liberal,No,Not at all important,Seldom,Seldom,Nothing in particular,0,Most of the time,"$150,000 - $199,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,212428.0,12.9,0.71
Georgia,1961,Male,Gay man,No,4-year,Yes,White,Full-time,Broadband,Broadband,Domestic / civil partnership,Independent,Moderate,No,Not too important,Seldom,Once a day,Nothing in particular,0,Most of the time,"$80,000 - $99,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,76057.0,11.2,0.0
Kansas,1980,Male,Heterosexual / straight,No,2-year,Yes,Black,Part-time,Broadband,Broadband,Never married,Democrat,Liberal,No,Somewhat important,Never,Never,Protestant,0,Most of the time,"$20,000 - $29,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,49062.0,10.9,0.13
South Carolina,1980,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Liberal,No,Very important,Once a week,A few times a week,Protestant,2,Only now and then,"$60,000 - $69,999",Own,Rural area,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,85784.0,17.9,0.33
Delaware,1959,Male,Heterosexual / straight,No,High school graduate,Yes,White,Permanently disabled,Broadband,,Married,Republican,Conservative,Yes,Very important,Once or twice a month,A few times a week,Nothing in particular,0,Some of the time,"$30,000 - $39,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,25456.0,24.2,0.39
New York,1986,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,,Never married,Democrat,Conservative,No,Somewhat important,A few times a year,Once a week,Roman Catholic,0,Some of the time,"$80,000 - $99,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,71610.0,,0.75
Indiana,1957,Female,Heterosexual / straight,No,High school graduate,Yes,White,Part-time,Broadband,,Married,Republican,Very conservative,Yes,Very important,Once or twice a month,Several times a day,Protestant,0,Some of the time,Prefer not to say,Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,50780.0,6.2,1.51
Virginia,1993,Male,Gay man,No,Some college,Yes,White,Part-time,Broadband,Broadband,Never married,Republican,Conservative,No,Not at all important,Never,Never,Atheist,0,Some of the time,"$10,000 - $19,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,11.0,0.0
New York,1958,Female,Heterosexual / straight,No,4-year,Yes,White,Permanently disabled,Broadband,,Domestic / civil partnership,Democrat,Liberal,No,Very important,Once or twice a month,Several times a day,Protestant,0,Some of the time,"$10,000 - $19,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,10154.0,5.8,1.17
Idaho,1966,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,,Married,Republican,Very conservative,Yes,Very important,Seldom,Several times a day,Nothing in particular,2,Most of the time,"$70,000 - $79,999",Own,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,84850.0,8.2,0.1
Massachusetts,1958,Male,Prefer not to say,No,4-year,Yes,Asian,Full-time,Broadband,Broadband,Divorced,Other,Not sure,No,Not at all important,Never,Never,Atheist,0,Some of the time,Prefer not to say,Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,84052.0,17.2,0.0
Arizona,1932,Male,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,,Widowed,Independent,Moderate,No,Not at all important,Never,Seldom,Agnostic,0,Most of the time,"$30,000 - $39,999",Rent,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,47410.0,12.0,0.43
Pennsylvania,1961,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Married,Republican,Conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$80,000 - $99,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",Yes,98711.0,15.6,0.65
Florida,1956,Male,Heterosexual / straight,No,High school graduate,Yes,White,Permanently disabled,Broadband,,Married,Democrat,Very liberal,No,Not at all important,Never,Seldom,Protestant,0,Most of the time,"$70,000 - $79,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,44751.0,12.2,0.78
Missouri,1965,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Divorced,Independent,Moderate,No,Somewhat important,A few times a year,A few times a week,Protestant,0,Most of the time,"$70,000 - $79,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,91889.0,12.0,0.0
Colorado,1967,Female,Heterosexual / straight,No,Some college,Yes,White,Full-time,,Broadband,Divorced,Other,Very conservative,Yes,Very important,More than once a week,Several times a day,Protestant,0,Only now and then,"$20,000 - $29,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,29180.0,,0.76
Alabama,1996,Female,Heterosexual / straight,No,4-year,Yes,Asian,Student,Broadband,Broadband,Never married,Democrat,Very liberal,No,Somewhat important,A few times a year,A few times a month,Muslim,0,Some of the time,"$120,000 - $149,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,143495.0,3.4,0.3
California,1977,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Liberal,No,Not at all important,Never,Never,Atheist,2,Some of the time,"$150,000 - $199,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,182659.0,10.7,0.49
Pennsylvania,1963,Female,Heterosexual / straight,No,No HS,Yes,White,Retired,Broadband,Broadband,Married,Other,Liberal,No,Not at all important,Never,Never,Nothing in particular,0,Most of the time,"$50,000 - $59,999",Own,Rural area,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,29543.0,15.0,0.0
New York,1958,Female,Heterosexual / straight,No,4-year,Yes,White,Other,Broadband,Broadband,Widowed,Other,Very liberal,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$10,000 - $19,999",Rent,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",No,0.0,13.0,1.43
Maine,1973,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Divorced,Democrat,Very liberal,No,Not too important,Seldom,Seldom,Agnostic,0,Most of the time,Prefer not to say,Rent,City,I was born in the USA but at least one of my parents is an immigrant,Yes,"Yes, a member of my household is currently a union member",Yes,86882.0,6.2,0.38
Massachusetts,1974,Female,Lesbian / gay woman,No,4-year,Yes,White,Part-time,Broadband,Broadband,Never married,Democrat,Very liberal,No,Not too important,Seldom,A few times a week,Nothing in particular,0,Most of the time,"$20,000 - $29,999",Rent,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"Yes, a member of my household is currently a union member",No,49036.0,,0.0
Missouri,1964,Female,Heterosexual / straight,No,2-year,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not too important,Never,Seldom,Nothing in particular,0,Some of the time,"$80,000 - $99,999",Own,Rural area,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,114265.0,16.9,0.0
Florida,1986,Male,Bisexual,No,High school graduate,Yes,White,Unemployed,Broadband,Broadband,Never married,Republican,Very conservative,No,Somewhat important,A few times a year,A few times a week,Jewish,0,Some of the time,"$20,000 - $29,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,41585.0,10.4,0.46
Florida,1990,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Independent,Moderate,No,Not at all important,Never,Never,Agnostic,0,Some of the time,"$80,000 - $99,999",Rent,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,99371.0,6.3,0.0
Missouri,1974,Male,Heterosexual / straight,No,Some college,Yes,Hispanic,Full-time,Broadband,Broadband,Separated,Independent,Moderate,No,Somewhat important,Seldom,Seldom,Protestant,0,Most of the time,"$60,000 - $69,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",No,59278.0,8.0,0.89
North Carolina,1961,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Divorced,Independent,Conservative,No,Somewhat important,Seldom,Seldom,Jewish,0,Most of the time,"$100,000 - $119,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,73534.0,11.8,0.02
Nevada,1954,Male,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Married,Independent,Liberal,No,Not too important,Seldom,Seldom,Nothing in particular,0,Some of the time,"$80,000 - $99,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,53194.0,5.7,0.57
Texas,1995,Male,Heterosexual / straight,No,High school graduate,Yes,Mixed,Full-time,Broadband,Broadband,Never married,Democrat,Liberal,No,Not too important,Seldom,Seldom,Nothing in particular,0,Only now and then,"$10,000 - $19,999",Rent,Town,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,5.5,0.0
Vermont,1949,Male,Heterosexual / straight,No,Some college,Yes,White,Permanently disabled,Broadband,,Married,Democrat,Very liberal,No,Not at all important,Never,Never,Nothing in particular,0,Most of the time,"$40,000 - $49,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,62324.0,10.8,0.0
Michigan,1968,Female,Heterosexual / straight,No,2-year,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Moderate,No,Not at all important,Never,Seldom,Nothing in particular,0,Most of the time,"$60,000 - $69,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,89057.0,5.6,0.79
Oregon,1981,Female,Heterosexual / straight,No,2-year,Yes,Mixed,Other,Broadband,,Domestic / civil partnership,Other,Moderate,No,Not too important,Never,Never,Protestant,0,Most of the time,"$10,000 - $19,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,19887.0,15.1,0.0
Florida,1958,Female,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Conservative,No,Somewhat important,Never,Once a week,Roman Catholic,0,Only now and then,"$50,000 - $59,999",Rent,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,53278.0,12.3,0.18
Michigan,1957,Male,Heterosexual / straight,No,2-year,Yes,White,Permanently disabled,Broadband,,Widowed,Republican,Moderate,Yes,Somewhat important,A few times a year,A few times a week,Nothing in particular,0,Most of the time,Prefer not to say,Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,69234.0,15.0,0.2
New Jersey,1959,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Married,Independent,Moderate,No,Very important,A few times a year,Several times a day,Roman Catholic,0,Some of the time,"$60,000 - $69,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"Yes, a member of my household is currently a union member",No,65505.0,21.3,0.47
Kentucky,1986,Male,Heterosexual / straight,Prefer not to say,Some college,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Very conservative,Yes,Very important,Once a week,Several times a day,Nothing in particular,1,Don't know,"$30,000 - $39,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,11416.0,,0.0
Texas,1964,Female,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Conservative,Yes,Very important,Once or twice a month,A few times a month,Roman Catholic,1,Some of the time,"$200,000 - $249,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,209816.0,7.4,0.0
Georgia,1948,Male,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,,Married,Independent,Liberal,No,Very important,Once a week,A few times a week,Protestant,0,Most of the time,"$80,000 - $99,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,117610.0,20.3,0.0
Massachusetts,1964,Male,Heterosexual / straight,No,Some college,Yes,White,Permanently disabled,Broadband,,Never married,Independent,Moderate,No,Very important,Once a week,Several times a day,Roman Catholic,0,Some of the time,"$20,000 - $29,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,35690.0,,1.04
Texas,1994,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Independent,Moderate,No,Not too important,Once or twice a month,Never,Roman Catholic,0,Most of the time,"$40,000 - $49,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,85542.0,6.9,0.0
Texas,1984,Female,Heterosexual / straight,No,4-year,Yes,Hispanic,Full-time,Broadband,Broadband,Married,Republican,Conservative,No,Very important,Once a week,Once a day,Roman Catholic,2,Some of the time,"$50,000 - $59,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,53427.0,5.1,1.0
Utah,1949,Female,Heterosexual / straight,No,Post-grad,Yes,White,Retired,Broadband,,Divorced,Democrat,Very liberal,No,Somewhat important,Seldom,A few times a week,Roman Catholic,0,Most of the time,"$70,000 - $79,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,54628.0,5.5,0.0
California,1992,Female,Heterosexual / straight,No,Some college,Yes,White,Homemaker,Broadband,Broadband,Married,Republican,Very conservative,No,Somewhat important,Seldom,Several times a day,Nothing in particular,3,Only now and then,"$100,000 - $119,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,145181.0,5.4,1.28
North Carolina,1989,Male,Bisexual,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Independent,Very liberal,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$70,000 - $79,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,53805.0,8.1,0.0
California,1972,Male,Gay man,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Very liberal,No,Not at all important,Seldom,Never,Agnostic,0,Most of the time,"$80,000 - $99,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,84536.0,1.1,0.0
Wisconsin,1996,Female,Lesbian / gay woman,No,Some college,Yes,White,Student,,,Never married,Other,Very liberal,No,Somewhat important,Never,Never,Buddhist,0,Only now and then,"$80,000 - $99,999",Other,Town,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"Yes, a member of my household is currently a union member",No,31877.0,8.2,0.48
Ohio,1976,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Somewhat important,Once a week,A few times a week,Roman Catholic,0,Most of the time,"$150,000 - $199,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,188394.0,6.1,1.09
Florida,1982,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Republican,Very conservative,Yes,Very important,Once a week,Once a day,Protestant,1,Most of the time,"$50,000 - $59,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,65640.0,18.2,0.0
New York,1956,Female,Heterosexual / straight,No,2-year,Yes,White,Homemaker,Broadband,,Married,Republican,Very conservative,Yes,Very important,More than once a week,Several times a day,Protestant,0,Most of the time,"$30,000 - $39,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,60866.0,,1.68
Georgia,1966,Female,Heterosexual / straight,No,High school graduate,Yes,White,Homemaker,Broadband,,Married,Republican,Very conservative,Yes,Very important,Seldom,Several times a day,Protestant,0,Most of the time,Prefer not to say,Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,115500.0,,0.0
Washington,1957,Male,Heterosexual / straight,No,4-year,Yes,White,Part-time,Broadband,Broadband,Divorced,Democrat,Liberal,No,Somewhat important,Once or twice a month,Once a week,Protestant,0,Most of the time,"$20,000 - $29,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,1.0,0.46
North Dakota,1959,Female,Prefer not to say,No,High school graduate,No,White,Retired,Broadband,Broadband,Married,Republican,Conservative,No,Very important,Seldom,Several times a day,Protestant,0,Some of the time,"$30,000 - $39,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,55024.0,17.0,0.93
Pennsylvania,1958,Female,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Conservative,No,Very important,A few times a year,Several times a day,Roman Catholic,0,Most of the time,"$80,000 - $99,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,136249.0,9.5,0.97
Indiana,1967,Female,Bisexual,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Very liberal,No,Not too important,Never,Never,Protestant,0,Most of the time,"$40,000 - $49,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,25069.0,10.1,0.24
Texas,1968,Female,Heterosexual / straight,No,Some college,Yes,White,Homemaker,Broadband,,Married,Independent,Liberal,No,Somewhat important,A few times a year,A few times a week,Nothing in particular,1,Most of the time,"$40,000 - $49,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,44695.0,13.5,0.23
California,1957,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not at all important,Seldom,Seldom,Something else,0,Most of the time,"$80,000 - $99,999",Rent,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",No,115066.0,6.2,0.35
Maryland,1955,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Moderate,Yes,Very important,Once a week,Several times a day,Protestant,0,Some of the time,"$120,000 - $149,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,88338.0,5.9,0.0
California,1940,Male,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,,Widowed,Republican,Conservative,Yes,Not too important,Seldom,A few times a week,Mormon,0,Most of the time,"$120,000 - $149,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,133179.0,11.5,0.0
