inputstate,birthyr,gender,sexuality,trans,educ,votereg,race,employ,internethome,internetwork,marstat,pid3,ideo5,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,child18num,newsint,faminc_new,ownhome,urbancity,immstat,cit1,unionhh,investor,assets_estimate,response_time_minutes,volunteering_index
Colorado,1970,Female,Heterosexual / straight,No,Post-grad,Yes,White,Student,Broadband,,Married,Republican,Conservative,Yes,Very important,Seldom,Once a day,Protestant,0,Most of the time,"$80,000 - $99,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",Yes,56173.0,12.8,0.87
California,1991,Female,Bisexual,No,2-year,Yes,White,Student,Broadband,Broadband,Domestic / civil partnership,Democrat,Very liberal,No,Not at all important,Never,Seldom,Agnostic,0,Only now and then,"$20,000 - $29,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,5606.0,7.3,0.44
Maine,1956,Female,Heterosexual / straight,No,Post-grad,Yes,Mixed,Full-time,Broadband,Broadband,Married,Independent,Moderate,No,Not at all important,Never,Never,Roman Catholic,0,Only now and then,"$80,000 - $99,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,95955.0,7.5,0.07
Missouri,1949,Male,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Married,Democrat,Liberal,No,Very important,A few times a year,Several times a day,Protestant,0,Most of the time,"$20,000 - $29,999",Own,Town,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,14.5,2.65
North Carolina,1969,Female,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Moderate,No,Somewhat important,A few times a year,A few times a week,Roman Catholic,0,Some of the time,"$70,000 - $79,999",Rent,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,62486.0,3.8,0.62
Oregon,1962,Male,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Married,Other,Very conservative,Yes,Somewhat important,A few times a year,Seldom,Protestant,0,Most of the time,Prefer not to say,Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,75908.0,11.0,0.0
Minnesota,1991,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Very liberal,No,Not too important,Seldom,Seldom,Protestant,0,Most of the time,"$60,000 - $69,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,61717.0,8.3,0.71
New York,1934,Male,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Married,Democrat,Conservative,No,Very important,Once a week,A few times a week,Roman Catholic,0,Most of the time,"$30,000 - $39,999",Own,Town,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,60506.0,11.8,0.43
Oregon,1965,Male,Heterosexual / straight,No,High school graduate,Yes,White,Permanently disabled,Broadband,,Divorced,Democrat,Very liberal,No,Somewhat important,Seldom,A few times a month,Nothing in particular,0,Most of the time,"$10,000 - $19,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,,0.0
Illinois,1985,Male,Heterosexual / straight,No,Some college,Yes,Black,Full-time,Broadband,Broadband,Never married,Independent,Moderate,No,Not at all important,Never,Never,Agnostic,0,Hardly at all,"$40,000 - $49,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,30495.0,11.0,1.15
New York,1983,Female,Bisexual,No,Post-grad,Yes,White,Unemployed,Broadband,Broadband,Married,Democrat,Very liberal,No,Somewhat important,Never,A few times a month,Something else,0,Some of the time,Prefer not to say,Rent,Town,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"Yes, a member of my household is currently a union member",No,43929.0,14.2,0.84
Maine,1994,Female,Heterosexual / straight,No,High school graduate,Don't know,White,Part-time,Broadband,Broadband,Never married,Republican,Conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Only now and then,"$30,000 - $39,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,48843.0,6.6,0.8
Illinois,1951,Female,Heterosexual / straight,No,High school graduate,Yes,Black,Retired,Broadband,,Divorced,Democrat,Liberal,No,Very important,Once a week,Several times a day,Nothing in particular,0,Most of the time,"$20,000 - $29,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,29035.0,14.9,0.99
Kentucky,1953,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Never married,Democrat,Very liberal,No,Not at all important,Never,A few times a month,Agnostic,0,Most of the time,"$10,000 - $19,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,4094.0,14.5,2.01
Tennessee,1982,Female,Lesbian / gay woman,No,Some college,Yes,Black,Unemployed,Broadband,Broadband,Divorced,Democrat,Liberal,No,Somewhat important,Seldom,Seldom,Nothing in particular,2,Some of the time,"$20,000 - $29,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,8327.0,14.9,0.0
Louisiana,1965,Male,Heterosexual / straight,No,2-year,Yes,Black,Full-time,Broadband,Broadband,Married,Democrat,Conservative,No,Very important,Once a week,Seldom,Roman Catholic,1,Most of the time,"$40,000 - $49,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,38072.0,5.2,0.54
Mississippi,1958,Female,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,,Married,Republican,Conservative,No,Very important,Never,Several times a day,Something else,0,Only now and then,"$50,000 - $59,999",Other,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,49694.0,5.2,1.11
New Jersey,1962,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Independent,Conservative,No,Very important,A few times a year,Don't know,Protestant,0,Most of the time,Prefer not to say,Own,Town,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,75213.0,4.1,1.14
Washington,1972,Female,Bisexual,Yes,2-year,Yes,Mixed,Permanently disabled,Broadband,,Divorced,Independent,Moderate,No,Somewhat important,Once a week,A few times a week,Buddhist,1,Most of the time,"Less than $10,000",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,20710.0,19.0,0.37
North Carolina,1940,Male,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,,Married,Republican,Conservative,No,Not too important,Seldom,Seldom,Protestant,0,Most of the time,"$50,000 - $59,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,48127.0,12.1,0.05
Illinois,1955,Female,Heterosexual / straight,No,2-year,Yes,White,Permanently disabled,Broadband,Broadband,Married,Democrat,Liberal,No,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$60,000 - $69,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,69478.0,8.8,0.32
New Jersey,1975,Female,Bisexual,No,4-year,Yes,White,Part-time,Broadband,Broadband,Never married,Independent,Liberal,No,Not too important,Seldom,Seldom,Nothing in particular,0,Some of the time,Prefer not to say,Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,46594.0,11.8,0.0
Washington,1970,Male,Heterosexual / straight,No,Some college,No,White,Permanently disabled,Broadband,,Never married,Other,Moderate,No,Not at all important,Never,Never,Atheist,0,Most of the time,"Less than $10,000",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,16.6,1.46
Texas,1995,Male,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Moderate,No,Somewhat important,A few times a year,A few times a week,Nothing in particular,0,Some of the time,"$20,000 - $29,999",Rent,City,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,8.8,0.15
District of Columbia,1945,Male,Gay man,No,Post-grad,Yes,White,Part-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$150,000 - $199,999",Own,City,I am an immigrant to the USA and a naturalized citizen,Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,183526.0,19.1,1.06
Kansas,1981,Female,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Moderate,No,Not too important,Never,Seldom,Nothing in particular,3,Some of the time,"$80,000 - $99,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,57538.0,13.7,0.34
Pennsylvania,1996,Female,Bisexual,Prefer not to say,High school graduate,Yes,Hispanic,Full-time,,,Never married,Other,Not sure,No,Not at all important,Don't know,A few times a week,Nothing in particular,0,Don't know,Prefer not to say,Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,61970.0,11.7,0.0
North Carolina,1967,Male,Other,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Never married,Independent,Conservative,Yes,Very important,Once a week,Several times a day,Roman Catholic,0,Most of the time,"$80,000 - $99,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,77863.0,13.0,1.74
Florida,1972,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Other,Conservative,Yes,Very important,Once a week,Several times a day,Something else,1,Most of the time,Prefer not to say,Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,34713.0,8.4,1.18
Indiana,1990,Female,Heterosexual / straight,No,High school graduate,Yes,Mixed,Other,,Broadband,Never married,Independent,Conservative,No,Somewhat important,Once or twice a month,Once a day,Roman Catholic,0,Some of the time,"$500,000 or more",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,496353.0,10.1,0.42
New York,1993,Female,Heterosexual / straight,No,4-year,Yes,Middle Eastern,Full-time,Broadband,Broadband,Never married,Independent,Liberal,No,Not too important,Seldom,Seldom,Nothing in particular,0,Some of the time,"$50,000 - $59,999",Rent,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,42598.0,9.4,0.45
Florida,1971,Male,Heterosexual / straight,No,2-year,Yes,Black,Full-time,Broadband,Broadband,Married,Democrat,Moderate,No,Somewhat important,Seldom,A few times a week,Something else,0,Some of the time,"$60,000 - $69,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,49398.0,11.9,0.0
Illinois,1947,Female,Heterosexual / straight,No,High school graduate,Yes,White,Homemaker,Broadband,,Married,Democrat,Liberal,No,Somewhat important,Seldom,Don't know,Protestant,0,Most of the time,"$20,000 - $29,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,329.0,19.3,0.9
Illinois,1980,Male,Heterosexual / straight,No,High school graduate,Yes,White,Permanently disabled,Broadband,Broadband,Never married,Not sure,Very liberal,Yes,Very important,More than once a week,Several times a day,Protestant,1,Most of the time,"$20,000 - $29,999",Other,City,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,49310.0,,1.3
Mississippi,1996,Female,Heterosexual / straight,No,2-year,Yes,White,Homemaker,Broadband,,Married,Independent,Conservative,No,Very important,Once a week,Several times a day,Mormon,1,Some of the time,"$10,000 - $19,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,23537.0,5.4,0.95
Ohio,1952,Male,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Married,Independent,Moderate,No,Somewhat important,Seldom,A few times a week,Nothing in particular,7,Most of the time,"$60,000 - $69,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,64361.0,17.2,0.0
Iowa,1974,Female,Bisexual,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Not sure,No,Not at all important,Never,Never,Something else,1,Most of the time,"$70,000 - $79,999",Rent,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,35425.0,14.5,0.97
Virginia,2000,Male,Bisexual,No,Some college,Yes,White,Student,Broadband,Broadband,Never married,Democrat,Very liberal,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$50,000 - $59,999",Other,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,38825.0,9.6,0.5
Arizona,1937,Male,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,,Married,Republican,Conservative,No,Not at all important,Seldom,Seldom,Jewish,0,Most of the time,"$70,000 - $79,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,96585.0,,0.0
California,1937,Male,Heterosexual / straight,No,Post-grad,Yes,White,Retired,Broadband,,Married,Republican,Conservative,No,Very important,A few times a year,A few times a week,Protestant,0,Most of the time,"$100,000 - $119,999",Own,Rural area,I was born in the USA but at least one of my parents is an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,123911.0,14.9,0.0
Washington,1957,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Married,Democrat,Moderate,No,Not at all important,Never,Several times a day,Nothing in particular,0,Most of the time,"Less than $10,000",Own,Rural area,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,54056.0,17.3,0.43
Georgia,1962,Female,Heterosexual / straight,No,4-year,Yes,Black,Homemaker,Broadband,,Married,Independent,Liberal,No,Not at all important,Never,A few times a week,Nothing in particular,0,Most of the time,"$50,000 - $59,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,57272.0,19.0,0.0
New York,1967,Female,Heterosexual / straight,No,2-year,Yes,White,Unemployed,Broadband,,Never married,Independent,Very conservative,No,Very important,More than once a week,Several times a day,Roman Catholic,0,Some of the time,"$100,000 - $119,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,127015.0,10.3,1.15
North Carolina,1975,Male,Heterosexual / straight,No,4-year,Yes,Black,Full-time,Broadband,Broadband,Married,Republican,Conservative,No,Very important,Once a week,Several times a day,Mormon,0,Most of the time,"$80,000 - $99,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,118958.0,,0.74
California,1994,Male,Heterosexual / straight,No,4-year,Yes,Hispanic,Full-time,Broadband,Broadband,Married,Democrat,Very liberal,No,Very important,Once a week,Once a week,Roman Catholic,2,Some of the time,"$40,000 - $49,999",Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,0.0,,0.17
California,1946,Male,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,,Married,Republican,Conservative,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$60,000 - $69,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,45294.0,14.2,0.14
Pennsylvania,1968,Female,Heterosexual / straight,No,High school graduate,Yes,Black,Permanently disabled,Broadband,,Married,Democrat,Very conservative,No,Very important,Never,Several times a day,Protestant,0,Some of the time,"$50,000 - $59,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,55399.0,16.9,0.66
Georgia,1974,Female,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,,Widowed,Independent,Conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$50,000 - $59,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,57555.0,15.8,0.34
Texas,1981,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Conservative,No,Not too important,Seldom,Seldom,Protestant,2,Most of the time,"$150,000 - $199,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,188816.0,7.4,0.0
Pennsylvania,1944,Male,Heterosexual / straight,No,Post-grad,Yes,White,Retired,Broadband,,Married,Democrat,Liberal,No,Somewhat important,Once or twice a month,Several times a day,Roman Catholic,0,Most of the time,"$80,000 - $99,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,50318.0,16.5,0.95
Arizona,1957,Female,Heterosexual / straight,No,2-year,Yes,White,Permanently disabled,Broadband,,Widowed,Independent,Very liberal,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$10,000 - $19,999",Other,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,17.9,0.0
Connecticut,1965,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Moderate,No,Very important,Once a week,Several times a day,Roman Catholic,1,Most of the time,"$80,000 - $99,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,129107.0,11.7,0.0
North Carolina,1961,Female,Heterosexual / straight,No,High school graduate,Yes,White,Part-time,Broadband,,Married,Republican,Conservative,No,Very important,A few times a year,Several times a day,Roman Catholic,1,Most of the time,"$20,000 - $29,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,21196.0,9.1,0.19
Oregon,1969,Female,Lesbian / gay woman,Yes,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Very liberal,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$40,000 - $49,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,6010.0,8.9,0.85
Minnesota,1985,Female,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Liberal,No,Not at all important,Seldom,Seldom,Nothing in particular,0,Most of the time,"$30,000 - $39,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,8077.0,1.0,0.0
Oklahoma,1987,Male,Heterosexual / straight,No,4-year,Yes,Hispanic,Full-time,Broadband,Broadband,Never married,Democrat,Liberal,No,Somewhat important,Once or twice a month,A few times a week,Roman Catholic,1,Most of the time,"$70,000 - $79,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,74295.0,6.7,0.35
Texas,1946,Female,Heterosexual / straight,No,Post-grad,Yes,Black,Retired,Broadband,,Never married,Not sure,Conservative,Yes,Very important,Once a week,Once a day,Protestant,0,Hardly at all,"$20,000 - $29,999",Rent,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,19821.0,8.0,1.1
Texas,1990,Male,Heterosexual / straight,No,High school graduate,Yes,Hispanic,Full-time,Broadband,Broadband,Never married,Democrat,Conservative,No,Very important,Never,Never,Protestant,0,Most of the time,"$50,000 - $59,999",Own,City,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",Yes,48902.0,9.6,0.64
California,1982,Female,Heterosexual / straight,No,4-year,Yes,Black,Full-time,Broadband,Broadband,Never married,Independent,Moderate,No,Very important,Never,Several times a day,Something else,0,Most of the time,"$60,000 - $69,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,119706.0,,1.4
Nebraska,1963,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not at all important,Never,Seldom,Nothing in particular,0,Most of the time,"$120,000 - $149,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,128406.0,13.9,0.1
Florida,1933,Male,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Married,Republican,Conservative,No,Not too important,Once a week,Seldom,Roman Catholic,0,Most of the time,"$100,000 - $119,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,96425.0,15.8,0.27
Kentucky,1988,Female,Heterosexual / straight,No,High school graduate,Yes,White,Homemaker,,,Married,Independent,Moderate,Yes,Very important,More than once a week,Several times a day,Protestant,4,Only now and then,"$40,000 - $49,999",Rent,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,49672.0,19.1,2.62
Arizona,1937,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Married,Republican,Very conservative,Yes,Very important,More than once a week,Several times a day,Something else,0,Most of the time,"$60,000 - $69,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,68867.0,15.9,1.22
